"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Publisher","Date published","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Sub-type","Source"
"Journal Article","Gascoigne KE,Cheeseman IM","Induced dicentric chromosome formation promotes genomic rearrangements and tumorigenesis","Chromosome Res.","Chromosome research: an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology","2013","21","4","407-418","Springer Science and Business Media LLC","2013-07","0967-3849","1573-6849","http://dx.doi.org/10.1007/s10577-013-9368-6;https://www.ncbi.nlm.nih.gov/pubmed/23793898;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713265","10.1007/s10577-013-9368-6","23793898","PMC3713265","Chromosomal rearrangements can radically alter gene products and their function, driving tumor formation or progression. However, the molecular origins and evolution of such rearrangements are varied and poorly understood, with cancer cells often containing multiple, complex rearrangements. One mechanism that can lead to genomic rearrangements is the formation of a ""dicentric"" chromosome containing two functional centromeres. Indeed, such dicentric chromosomes have been observed in cancer cells. Here, we tested the ability of a single dicentric chromosome to contribute to genomic instability and neoplastic conversion in vertebrate cells. We developed a system to transiently and reversibly induce dicentric chromosome formation on a single chromosome with high temporal control. We find that induced dicentric chromosomes are frequently damaged and mis-segregated during mitosis, and that this leads to extensive chromosomal rearrangements including translocations with other chromosomes. Populations of pre-neoplastic cells in which a single dicentric chromosome is induced acquire extensive genomic instability and display hallmarks of cellular transformation including anchorage-independent growth in soft agar. Our results suggest that a single dicentric chromosome could contribute to tumor initiation.","","","Whitehead Institute for Biomedical Research, Nine Cambridge Center, Cambridge, MA 02142, USA.","en","Research Article",""
"Journal Article","Swartz SZ,Tan TH,Perillo M,Fakhri N,Wessel GM,Wikramanayake AH,Cheeseman IM","Polarized Dishevelled dissolution and reassembly drives embryonic axis specification in sea star oocytes","Curr. Biol.","Current biology: CB","2021","31","24","5633-5641.e4","Elsevier BV","2021-12-20","0960-9822","1879-0445","http://dx.doi.org/10.1016/j.cub.2021.10.022;https://www.ncbi.nlm.nih.gov/pubmed/34739818;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8692449","10.1016/j.cub.2021.10.022","34739818","PMC8692449","The organismal body axes that are formed during embryogenesis are intimately linked to intrinsic asymmetries established at the cellular scale in oocytes.1 However, the mechanisms that generate cellular asymmetries within the oocyte and then transduce that polarity to organismal scale body axes are poorly understood outside of select model organisms. Here, we report an axis-defining event in meiotic oocytes of the sea star Patiria miniata. Dishevelled (Dvl) is a cytoplasmic Wnt pathway effector required for axis development in diverse species,2-4 but the mechanisms governing its function and distribution remain poorly defined. Using time-lapse imaging, we find that Dvl localizes uniformly to puncta throughout the cell cortex in Prophase I-arrested oocytes but becomes enriched at the vegetal pole following meiotic resumption through a dissolution-reassembly mechanism. This process is driven by an initial disassembly phase of Dvl puncta, followed by selective reformation of Dvl assemblies at the vegetal pole. Rather than being driven by Wnt signaling, this localization behavior is coupled to meiotic cell cycle progression and influenced by Lamp1+ endosome association and Frizzled receptors pre-localized within the oocyte cortex. Our results reveal a cell cycle-linked mechanism by which maternal cellular polarity is transduced to the embryo through spatially regulated Dvl dynamics.","Dishevelled; Patiria miniata; Wnt; body axis; meiosis; oocyte; polarity; sea star; starfish","http://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, Cambridge, MA 02142, USA; Embryology Course: Concepts and Techniques in Modern Developmental Biology, Marine Biological Laboratory, Woods Hole, MA 02543, USA. Electronic address: szs@wi.mit.edu.; Massachusetts Institute of Technology, Department of Physics, Cambridge, MA 02142, USA.; MCB Department, Brown University, Providence, RI 02912, USA.; Department of Biology, University of Miami, Coral Gables, FL 33134, USA; Embryology Course: Concepts and Techniques in Modern Developmental Biology, Marine Biological Laboratory, Woods Hole, MA 02543, USA.; Whitehead Institute for Biomedical Research, Cambridge, MA 02142, USA. Electronic address: icheese@wi.mit.edu.","en","Research Article",""
"Journal Article","Cheeseman IM,Chappie JS,Wilson-Kubalek EM,Desai A","The conserved KMN network constitutes the core microtubule-binding site of the kinetochore","Cell","Cell","2006","127","5","983-997","Elsevier BV","2006-12-01","0092-8674","1097-4172","http://dx.doi.org/10.1016/j.cell.2006.09.039;https://www.ncbi.nlm.nih.gov/pubmed/17129783","10.1016/j.cell.2006.09.039","17129783","","The microtubule-binding interface of the kinetochore is of central importance in chromosome segregation. Although kinetochore components that stabilize, translocate on, and affect the polymerization state of microtubules have been identified, none have proven essential for kinetochore-microtubule interactions. Here, we examined the conserved KNL-1/Mis12 complex/Ndc80 complex (KMN) network, which is essential for kinetochore-microtubule interactions in vivo. We identified two distinct microtubule-binding activities within the KMN network: one associated with the Ndc80/Nuf2 subunits of the Ndc80 complex, and a second in KNL-1. Formation of the complete KMN network, which additionally requires the Mis12 complex and the Spc24/Spc25 subunits of the Ndc80 complex, synergistically enhances microtubule-binding activity. Phosphorylation by Aurora B, which corrects improper kinetochore-microtubule connections in vivo, reduces the affinity of the Ndc80 complex for microtubules in vitro. Based on these findings, we propose that the conserved KMN network constitutes the core microtubule-binding site of the kinetochore.","","http://www.elsevier.com/open-access/userlicense/1.0/","Ludwig Institute for Cancer Research, Department of Cellular and Molecular Medicine (UCSD), CMM-East, Room 3052, La Jolla, CA 92093, USA. icheeseman@ucsd.edu","en","Research Article",""
"Journal Article","Swartz SZ,Nguyen HT,McEwan BC,Adamo ME,Cheeseman IM,Kettenbach AN","Selective dephosphorylation by PP2A-B55 directs the meiosis I-meiosis II transition in oocytes","Elife","eLife","2021","10","","","eLife Sciences Publications, Ltd","2021-08-03","2050-084X","","http://dx.doi.org/10.7554/eLife.70588;https://www.ncbi.nlm.nih.gov/pubmed/34342579;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8370769","10.7554/eLife.70588","34342579","PMC8370769","Meiosis is a specialized cell cycle that requires sequential changes to the cell division machinery to facilitate changing functions. To define the mechanisms that enable the oocyte-to-embryo transition, we performed time-course proteomics in synchronized sea star oocytes from prophase I through the first embryonic cleavage. Although we found that protein levels were broadly stable, our analysis reveals that dynamic waves of phosphorylation underlie each meiotic stage. We found that the phosphatase PP2A-B55 is reactivated at the meiosis I/meiosis II (MI/MII) transition, resulting in the preferential dephosphorylation of threonine residues. Selective dephosphorylation is critical for directing the MI/MII transition as altering PP2A-B55 substrate preferences disrupts key cell cycle events after MI. In addition, threonine to serine substitution of a conserved phosphorylation site in the substrate INCENP prevents its relocalization at anaphase I. Thus, through its inherent phospho-threonine preference, PP2A-B55 imposes specific phosphoregulated behaviors that distinguish the two meiotic divisions.","cell biology; meiosis; patiria miniata; phosphatases; proteomics","http://creativecommons.org/licenses/by/4.0/","Whitehead Institute for Biomedical Research, Cambridge, United States.; Department of Biology, Massachusetts Institute of Technology, Cambridge, United States.; Department of Biochemistry and Cell Biology, Geisel School of Medicine at Dartmouth, Hanover, United States.; Norris Cotton Cancer Center, Geisel School of Medicine at Dartmouth, Lebanon, United States.; Department of Biochemistry and Cell Biology, Geisel School of Medicine at Dartmouth, Hanover, United States.; Norris Cotton Cancer Center, Geisel School of Medicine at Dartmouth, Lebanon, United States.","en","Research Article",""
"Journal Article","McIntosh JR,Grishchuk EL,Morphew MK,Efremov AK,Zhudenkov K,Volkov VA,Cheeseman IM,Desai A,Mastronarde DN,Ataullakhanov FI","Fibrils connect microtubule tips with kinetochores: a mechanism to couple tubulin dynamics to chromosome motion","Cell","Cell","2008","135","2","322-333","Elsevier BV","2008-10-17","0092-8674","1097-4172","http://dx.doi.org/10.1016/j.cell.2008.08.038;https://www.ncbi.nlm.nih.gov/pubmed/18957206;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2746696","10.1016/j.cell.2008.08.038","18957206","PMC2746696","Kinetochores of mitotic chromosomes are coupled to spindle microtubules in ways that allow the energy from tubulin dynamics to drive chromosome motion. Most kinetochore-associated microtubule ends display curving ""protofilaments,"" strands of tubulin dimers that bend away from the microtubule axis. Both a kinetochore ""plate"" and an encircling, ring-shaped protein complex have been proposed to link protofilament bending to poleward chromosome motion. Here we show by electron tomography that slender fibrils connect curved protofilaments directly to the inner kinetochore. Fibril-protofilament associations correlate with a local straightening of the flared protofilaments. Theoretical analysis reveals that protofilament-fibril connections would be efficient couplers for chromosome motion, and experimental work on two very different kinetochore components suggests that filamentous proteins can couple shortening microtubules to cargo movements. These analyses define a ring-independent mechanism for harnessing microtubule dynamics directly to chromosome movement.","","http://www.elsevier.com/open-access/userlicense/1.0/","Department of M.C.D. Biology, University of Colorado, Boulder, CO 80309-0347, USA. richard.mcintosh@colorado.edu","en","Research Article",""
"Commentary","Schmidt JC,Cheeseman IM","Chromosome segregation: keeping kinetochores in the loop","Curr. Biol.","Current biology: CB","2011","21","3","R110-2","Elsevier BV","2011-02-08","0960-9822","1879-0445","http://dx.doi.org/10.1016/j.cub.2010.12.030;https://www.ncbi.nlm.nih.gov/pubmed/21300272","10.1016/j.cub.2010.12.030","21300272","","The Ndc80 complex is a key component of the kinetochore-microtubule interface. Two studies now demonstrate that a conserved loop region within the extended coiled-coil of Ndc80 plays an unexpected role in recruiting proteins to the kinetochore.","","http://www.elsevier.com/open-access/userlicense/1.0/","Whitehead Institute for Biomedical Research, and Department of Biology, Massachusetts Institute of Technology, Nine Cambridge Center, Cambridge, MA 02142, USA.","en","Commentary",""
"Journal Article","Kline SL,Cheeseman IM,Hori T,Fukagawa T,Desai A","The human Mis12 complex is required for kinetochore assembly and proper chromosome segregation","J. Cell Biol.","The journal of cell biology","2006","173","1","9-17","Rockefeller University Press","2006-04-10","0021-9525","1540-8140","http://dx.doi.org/10.1083/jcb.200509158;https://www.ncbi.nlm.nih.gov/pubmed/16585270;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2063780","10.1083/jcb.200509158","16585270","PMC2063780","During cell division, kinetochores form the primary chromosomal attachment sites for spindle microtubules. We previously identified a network of 10 interacting kinetochore proteins conserved between Caenorhabditis elegans and humans. In this study, we investigate three proteins in the human network (hDsn1Q9H410, hNnf1PMF1, and hNsl1DC31). Using coexpression in bacteria and fractionation of mitotic extracts, we demonstrate that these proteins form a stable complex with the conserved kinetochore component hMis12. Human or chicken cells depleted of Mis12 complex subunits are delayed in mitosis with misaligned chromosomes and defects in chromosome biorientation. Aligned chromosomes exhibited reduced centromere stretch and diminished kinetochore microtubule bundles. Consistent with this, localization of the outer plate constituent Ndc80HEC1 was severely reduced. The checkpoint protein BubR1, the fibrous corona component centromere protein (CENP) E, and the inner kinetochore proteins CENP-A and CENP-H also failed to accumulate to wild-type levels in depleted cells. These results indicate that a four-subunit Mis12 complex plays an essential role in chromosome segregation in vertebrates and contributes to mitotic kinetochore assembly.","","","Ludwig Institute for Cancer Research, Department of Cellular and Molecular Medicine, University of California, San Diego, School of Medicine, La Jolla, CA 92093, USA.","en","Research Article",""
"Journal Article","Guo LY,Allu PK,Zandarashvili L,McKinley KL,Sekulic N,Dawicki-McKenna JM,Fachinetti D,Logsdon GA,Jamiolkowski RM,Cleveland DW,Cheeseman IM,Black BE","Centromeres are maintained by fastening CENP-A to DNA and directing an arginine anchor-dependent nucleosome transition","Nat. Commun.","Nature communications","2017","8","1","15775","Springer Science and Business Media LLC","2017-06-09","2041-1723","","http://dx.doi.org/10.1038/ncomms15775;https://www.ncbi.nlm.nih.gov/pubmed/28598437;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5472775","10.1038/ncomms15775","28598437","PMC5472775","Maintaining centromere identity relies upon the persistence of the epigenetic mark provided by the histone H3 variant, centromere protein A (CENP-A), but the molecular mechanisms that underlie its remarkable stability remain unclear. Here, we define the contributions of each of the three candidate CENP-A nucleosome-binding domains (two on CENP-C and one on CENP-N) to CENP-A stability using gene replacement and rapid protein degradation. Surprisingly, the most conserved domain, the CENP-C motif, is dispensable. Instead, the stability is conferred by the unfolded central domain of CENP-C and the folded N-terminal domain of CENP-N that becomes rigidified 1,000-fold upon crossbridging CENP-A and its adjacent nucleosomal DNA. Disrupting the 'arginine anchor' on CENP-C for the nucleosomal acidic patch disrupts the CENP-A nucleosome structural transition and removes CENP-A nucleosomes from centromeres. CENP-A nucleosome retention at centromeres requires a core centromeric nucleosome complex where CENP-C clamps down a stable nucleosome conformation and CENP-N fastens CENP-A to the DNA.","","https://creativecommons.org/licenses/by/4.0","Department of Biochemistry and Biophysics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania 19104, USA.; Graduate Program in Biochemistry and Molecular Biophysics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania 19104, USA.; Department of Biochemistry and Biophysics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania 19104, USA.; Whitehead Institute for Biomedical Research and Department of Biology, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142, USA.; Ludwig Institute for Cancer Research and Department of Cellular and Molecular Medicine, University of California, San Diego, La Jolla, California 92093, USA.; Graduate Program in Bioengineering, University of Pennsylvania, Philadelphia, Pennsylvania 19104, USA.","en","Research Article",""
"Journal Article","Cheeseman IM,Enquist-Newman M,Müller-Reichert T,Drubin DG,Barnes G","Mitotic spindle integrity and kinetochore function linked by the Duo1p/Dam1p complex","J. Cell Biol.","The journal of cell biology","2001","152","1","197-212","Rockefeller University Press","2001-01-08","0021-9525","1540-8140","http://dx.doi.org/10.1083/jcb.152.1.197;https://www.ncbi.nlm.nih.gov/pubmed/11149931;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2193660","10.1083/jcb.152.1.197","11149931","PMC2193660","Duo1p and Dam1p were previously identified as spindle proteins in the budding yeast, Saccharomyces cerevisiae. Here, analyses of a diverse collection of duo1 and dam1 alleles were used to develop a deeper understanding of the functions and interactions of Duo1p and Dam1p. Based on the similarity of mutant phenotypes, genetic interactions between duo1 and dam1 alleles, interdependent localization to the mitotic spindle, and Duo1p/Dam1p coimmunoprecipitation from yeast protein extracts, these analyses indicated that Duo1p and Dam1p perform a shared function in vivo as components of a protein complex. Duo1p and Dam1p are not required to assemble bipolar spindles, but they are required to maintain metaphase and anaphase spindle integrity. Immunofluorescence and electron microscopy of duo1 and dam1 mutant spindles revealed a diverse variety of spindle defects. Our results also indicate a second, previously unidentified, role for the Duo1p/Dam1p complex. duo1 and dam1 mutants show high rates of chromosome missegregation, premature anaphase events while arrested in metaphase, and genetic interactions with a subset of kinetochore components consistent with a role in kinetochore function. In addition, Duo1p and Dam1p localize to kinetochores in chromosome spreads, suggesting that this complex may serve as a link between the kinetochore and the mitotic spindle.","","","Department of Molecular and Cell Biology, University of California at Berkeley, Berkeley, California 94720, USA.","en","Research Article",""
"Review","Lampson MA,Cheeseman IM","Sensing centromere tension: Aurora B and the regulation of kinetochore function","Trends Cell Biol.","Trends in cell biology","2011","21","3","133-140","Elsevier BV","2011-03","0962-8924","1879-3088","http://dx.doi.org/10.1016/j.tcb.2010.10.007;https://www.ncbi.nlm.nih.gov/pubmed/21106376;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3049846","10.1016/j.tcb.2010.10.007","21106376","PMC3049846","Maintaining genome integrity during cell division requires regulated interactions between chromosomes and spindle microtubules. To ensure that daughter cells inherit the correct chromosomes, the sister kinetochores must attach to opposite spindle poles. Tension across the centromere stabilizes correct attachments, whereas phosphorylation of kinetochore substrates by the conserved Ipl1/Aurora B kinase selectively eliminates incorrect attachments. Here, we review our current understanding of how mechanical forces acting on the kinetochore are linked to biochemical changes to control chromosome segregation. We discuss models for tension sensing and regulation of kinetochore function downstream of Aurora B, and mechanisms that specify Aurora B localization to the inner centromere and determine its interactions with substrates at distinct locations.","","","Department of Biology, University of Pennsylvania, Philadelphia, PA 19104, USA.","en","Review",""
"Journal Article","Cheeseman IM,Anderson S,Jwa M,Green EM,Kang Js,Yates 3rd JR,Chan CS,Drubin DG,Barnes G","Phospho-regulation of kinetochore-microtubule attachments by the Aurora kinase Ipl1p","Cell","Cell","2002","111","2","163-172","Elsevier BV","2002-10-18","0092-8674","1097-4172","http://dx.doi.org/10.1016/s0092-8674(02)00973-x;https://www.ncbi.nlm.nih.gov/pubmed/12408861","10.1016/s0092-8674(02)00973-x","12408861","","The Aurora kinase Ipl1p plays a crucial role in regulating kinetochore-microtubule attachments in budding yeast, but the underlying basis for this regulation is not known. To identify Ipl1p targets, we first purified 28 kinetochore proteins from yeast protein extracts. These studies identified five previously uncharacterized kinetochore proteins and defined two additional kinetochore subcomplexes. We then used mass spectrometry to identify 18 phosphorylation sites in 7 of these 28 proteins. Ten of these phosphorylation sites are targeted directly by Ipl1p, allowing us to identify a consensus phosphorylation site for an Aurora kinase. Our systematic mutational analysis of the Ipl1p phosphorylation sites demonstrated that the essential microtubule binding protein Dam1p is a key Ipl1p target for regulating kinetochore-microtubule attachments in vivo.","","https://www.elsevier.com/open-access/userlicense/1.0/","Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA 94720, USA.","en","Research Article",""
"Journal Article","Hofmann C,Cheeseman IM,Goode BL,McDonald KL,Barnes G,Drubin DG","Saccharomyces cerevisiae Duo1p and Dam1p, novel proteins involved in mitotic spindle function","J. Cell Biol.","The journal of cell biology","1998","143","4","1029-1040","Rockefeller University Press","1998-11-16","0021-9525","1540-8140","http://dx.doi.org/10.1083/jcb.143.4.1029;https://www.ncbi.nlm.nih.gov/pubmed/9817759;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2132964","10.1083/jcb.143.4.1029","9817759","PMC2132964","In this paper, we describe the identification and characterization of two novel and essential mitotic spindle proteins, Duo1p and Dam1p. Duo1p was isolated because its overexpression caused defects in mitosis and a mitotic arrest. Duo1p was localized by immunofluorescence, by immunoelectron microscopy, and by tagging with green fluorescent protein (GFP), to intranuclear spindle microtubules and spindle pole bodies. Temperature-sensitive duo1 mutants arrest with short spindles. This arrest is dependent on the mitotic checkpoint. Dam1p was identified by two-hybrid analysis as a protein that binds to Duo1p. By expressing a GFP-Dam1p fusion protein in yeast, Dam1p was also shown to be associated with intranuclear spindle microtubules and spindle pole bodies in vivo. As with Duo1p, overproduction of Dam1p caused mitotic defects. Biochemical experiments demonstrated that Dam1p binds directly to microtubules with micromolar affinity. We suggest that Dam1p might localize Duo1p to intranuclear microtubules and spindle pole bodies to provide a previously unrecognized function (or functions) required for mitosis.","","","Department of Molecular and Cell Biology, University of California, Berkeley, California 94720-3202, USA.","en","Research Article",""
"Journal Article","Tzur YB,Egydio de Carvalho C,Nadarajan S,Van Bostelen I,Gu Y,Chu DS,Cheeseman IM,Colaiácovo MP","LAB-1 targets PP1 and restricts Aurora B kinase upon entrance into meiosis to promote sister chromatid cohesion","PLoS Biol.","PLoS biology","2012","10","8","e1001378","Public Library of Science (PLoS)","2012-08-21","1544-9173","1545-7885","http://dx.doi.org/10.1371/journal.pbio.1001378;https://www.ncbi.nlm.nih.gov/pubmed/22927794;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3424243","10.1371/journal.pbio.1001378","22927794","PMC3424243","Successful execution of the meiotic program depends on the timely establishment and removal of sister chromatid cohesion. LAB-1 has been proposed to act in the latter by preventing the premature removal of the meiosis-specific cohesin REC-8 at metaphase I in C. elegans, yet the mechanism and scope of LAB-1 function remained unknown. Here we identify an unexpected earlier role for LAB-1 in promoting the establishment of sister chromatid cohesion in prophase I. LAB-1 and REC-8 are both required for the chromosomal association of the cohesin complex subunit SMC-3. Depletion of lab-1 results in partial loss of sister chromatid cohesion in rec-8 and coh-4 coh-3 mutants and further enhanced chromatid dissociation in worms where all three kleisins are mutated. Moreover, lab-1 depletion results in increased Aurora B kinase (AIR-2) signals in early prophase I nuclei, coupled with a parallel decrease in signals for the PP1 homolog, GSP-2. Finally, LAB-1 directly interacts with GSP-1 and GSP-2. We propose that LAB-1 targets the PP1 homologs to the chromatin at the onset of meiosis I, thereby antagonizing AIR-2 and cooperating with the cohesin complex to promote sister chromatid association and normal progression of the meiotic program.","","","Department of Genetics, Harvard Medical School, Boston, Massachusetts, USA.","en","Research Article",""
"Journal Article","Lorestani A,Ivey FD,Thirugnanam S,Busby MA,Marth GT,Cheeseman IM,Gubbels MJ","Targeted proteomic dissection of Toxoplasma cytoskeleton sub-compartments using MORN1","Cytoskeleton (Hoboken)","Cytoskeleton (Hoboken, N.J.)","2012","69","12","1069-1085","Wiley","2012-12","1949-3584","1949-3592","http://dx.doi.org/10.1002/cm.21077;https://www.ncbi.nlm.nih.gov/pubmed/23027733;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3566231","10.1002/cm.21077","23027733","PMC3566231","The basal complex in Toxoplasma functions as the contractile ring in the cell division process. Basal complex contraction tapers the daughter cytoskeleton toward the basal end and is required for daughter segregation. We have previously shown that the protein MORN1 is essential for basal complex assembly and likely acts as a scaffolding protein. To further our understanding of the basal complex, we combined subcellular fractionation with an affinity purification of the MORN1 complex and identified its protein composition. We identified two new components of the basal complex, one of which uniquely associated with the basal complex in mature parasites, the first of its kind. In addition, we identified several other novel cytoskeleton proteins with different spatiotemporal dynamics throughout cell division. Since many of these proteins are unique to Apicomplexa this study significantly contributes to the annotation of their unique cytoskeleton. Furthermore, we show that G-actin binding protein TgCAP is localized at the apical cap region in intracellular parasites, but quickly redistributes to a cytoplasmic localization pattern upon egress. © 2012 Wiley Periodicals, Inc.","","http://onlinelibrary.wiley.com/termsAndConditions#vor","Department of Biology, Boston College, Chestnut Hill, MA 02467, USA.","en","Research Article",""
"Journal Article","Boeszoermenyi A,Schmidt JC,Cheeseman IM,Oberer M,Wagner G,Arthanari H","Resonance assignments of the microtubule-binding domain of the C. elegans spindle and kinetochore-associated protein 1","Biomol. NMR Assign.","Biomolecular NMR assignments","2014","8","2","275-278","Springer Science and Business Media LLC","2014-10","1874-2718","1874-270X","http://dx.doi.org/10.1007/s12104-013-9499-x;https://www.ncbi.nlm.nih.gov/pubmed/23765286;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3823668","10.1007/s12104-013-9499-x","23765286","PMC3823668","During mitosis, kinetochores coordinate the attachment of centromeric DNA to the dynamic plus ends of microtubules, which is hypothesized to pull sister chromatids toward opposing poles of the mitotic spindle. The outer kinetochore Ndc80 complex acts synergistically with the Ska (spindle and kinetochore-associated) complex to harness the energy of depolymerizing microtubules and power chromosome movement. The Ska complex is a hexamer consisting of two copies of the proteins Ska1, Ska2 and Ska3, respectively. The C-terminal domain of the spindle and kinetochore-associated protein 1 (Ska1) is the microtubule-binding domain of the Ska complex. We solved the solution structure of the C. elegans microtubule-binding domain (MTBD) of the protein Ska1 using NMR spectroscopy. Here, we report the resonance assignments of the MTBD of C. elegans Ska1.","","","Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.","en","Research Article",""
"Journal Article","Nishino T,Takeuchi K,Gascoigne KE,Suzuki A,Hori T,Oyama T,Morikawa K,Cheeseman IM,Fukagawa T","CENP-T-W-S-X forms a unique centromeric chromatin structure with a histone-like fold","Cell","Cell","2012","148","3","487-501","Elsevier BV","2012-02-03","0092-8674","1097-4172","http://dx.doi.org/10.1016/j.cell.2011.11.061;https://www.ncbi.nlm.nih.gov/pubmed/22304917;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3277711","10.1016/j.cell.2011.11.061","22304917","PMC3277711","The multiprotein kinetochore complex must assemble at a specific site on each chromosome to achieve accurate chromosome segregation. Defining the nature of the DNA-protein interactions that specify the position of the kinetochore and provide a scaffold for kinetochore formation remain key goals. Here, we demonstrate that the centromeric histone-fold-containing CENP-T-W and CENP-S-X complexes coassemble to form a stable CENP-T-W-S-X heterotetramer. High-resolution structural analysis of the individual complexes and the heterotetramer reveals similarity to other histone fold-containing complexes including canonical histones within a nucleosome. The CENP-T-W-S-X heterotetramer binds to and supercoils DNA. Mutants designed to compromise heterotetramerization or the DNA-protein contacts around the heterotetramer strongly reduce the DNA binding and supercoiling activities in vitro and compromise kinetochore assembly in vivo. These data suggest that the CENP-T-W-S-X complex forms a unique nucleosome-like structure to generate contacts with DNA, extending the ""histone code"" beyond canonical nucleosome proteins.","","http://www.elsevier.com/open-access/userlicense/1.0/","Department of Molecular Genetics, National Institute of Genetics and The Graduate University for Advanced Studies (SOKENDAI), Mishima, Shizuoka 411-8540, Japan.","en","Research Article",""
"Journal Article","Hori T,Amano M,Suzuki A,Backer CB,Welburn JP,Dong Y,McEwen BF,Shang WH,Suzuki E,Okawa K,Cheeseman IM,Fukagawa T","CCAN makes multiple contacts with centromeric DNA to provide distinct pathways to the outer kinetochore","Cell","Cell","2008","135","6","1039-1052","Elsevier BV","2008-12-12","0092-8674","1097-4172","http://dx.doi.org/10.1016/j.cell.2008.10.019;https://www.ncbi.nlm.nih.gov/pubmed/19070575","10.1016/j.cell.2008.10.019","19070575","","Kinetochore specification and assembly requires the targeted deposition of specialized nucleosomes containing the histone H3 variant CENP-A at centromeres. However, CENP-A is not sufficient to drive full-kinetochore assembly, and it is not clear how centromeric chromatin is established. Here, we identify CENP-W as a component of the DNA-proximal constitutive centromere-associated network (CCAN) of proteins. We demonstrate that CENP-W forms a DNA-binding complex together with the CCAN component CENP-T. This complex directly associates with nucleosomal DNA and with canonical histone H3, but not with CENP-A, in centromeric regions. CENP-T/CENP-W functions upstream of other CCAN components with the exception of CENP-C, an additional putative DNA-binding protein. Our analysis indicates that CENP-T/CENP-W and CENP-C provide distinct pathways to connect the centromere with outer kinetochore assembly. In total, our results suggest that the CENP-T/CENP-W complex is directly involved in establishment of centromere chromatin structure coordinately with CENP-A.","","http://www.elsevier.com/open-access/userlicense/1.0/","Department of Molecular Genetics, National Institute of Genetics and The Graduate University for Advanced Studies (SOKENDAI), Mishima, Shizuoka 411-8540, Japan.","en","Research Article",""
"Journal Article","Enquist-Newman M,Cheeseman IM,Van Goor D,Drubin DG,Meluh PB,Barnes G","Dad1p, third component of the Duo1p/Dam1p complex involved in kinetochore function and mitotic spindle integrity","Mol. Biol. Cell","Molecular biology of the cell","2001","12","9","2601-2613","","2001-09","1059-1524","1939-4586","http://dx.doi.org/10.1091/mbc.12.9.2601;https://www.ncbi.nlm.nih.gov/pubmed/11553702;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59698","10.1091/mbc.12.9.2601","11553702","PMC59698","We showed recently that a complex between Duo1p and Dam1p is required for both spindle integrity and kinetochore function in the budding yeast Saccharomyces cerevisiae. To extend our understanding of the functions and interactions of the Duo1p/Dam1p complex, we analyzed the novel gene product Dad1p (for Duo1 and Dam1 interacting). Dad1p physically associates with Duo1p by two-hybrid analysis, coimmunoprecipitates with Duo1p and Dam1p out of yeast protein extracts, and shows interdependent localization with Duo1p and Dam1p to the mitotic spindle. These results indicate that Dad1p functions as a component of the Duo1p/Dam1p complex. Like Duo1p and Dam1p, Dad1p also localizes to kinetochore regions in chromosomes spreads. Here, we also demonstrate by chromatin immunoprecipitation that Duo1p, Dam1p, and Dad1p associate specifically with centromeric DNA in a manner that is dependent upon Ndc10 and partially dependent upon the presence of microtubules. To explore the functions of Dad1p in vivo, we generated a temperature-sensitive allele, dad1-1. This allele shows spindle defects and a mitotic arrest phenotype that is dependent upon the spindle assembly checkpoint. In addition, dad1-1 mutants undergo chromosome mis-segregation at the restrictive temperature, resulting in a dramatic decrease in viability.","","","Department of Molecular and Cell Biology, University of California, Berkeley, CA 94720-3202, USA.","en","Research Article",""
